player_team,0,1,2,3,4,5,6
Long Island University Sharks - Eddie Munyak,,3.0,done,done,done,done,done
Long Island University Sharks - Greg Gordon,,12.0,done,done,done,done,done
Long Island University Sharks - Isaiah Miranda,,0.0,done,done,done,done,done
Long Island University Sharks - Jamal Fuller,,11.0,done,done,done,done,done
Long Island University Sharks - Jomo Goings,,4.0,done,done,done,done,done
Long Island University Sharks - Malachi Davis,,2.0,done,done,done,done,done
Long Island University Sharks - Mason Porter-Brown,,15.0,done,done,done,done,done
Long Island University Sharks - Max Ndlovu-Fraser,,0.0,done,done,done,done,done
Long Island University Sharks - Shadrak Lasu,,4.0,done,done,done,done,done
Long Island University Sharks - Tre'shawn Sheppard,,0.0,done,done,done,done,done
Long Island University Sharks - Xinyi Li,,0.0,done,done,done,done,done
Louisville Cardinals - Adrian Wooley,,4.0,17.0,done,done,done,done
Louisville Cardinals - Aly Khalifa,,3.0,8.0,done,done,done,done
Louisville Cardinals - Isaac McKneely,,23.0,9.0,done,done,done,done
Louisville Cardinals - J'Vonne Hadley,,10.0,2.0,done,done,done,done
Louisville Cardinals - Kasean Pryor,,,0.0,done,done,done,done
Louisville Cardinals - Khani Rooths,,5.0,0.0,done,done,done,done
Louisville Cardinals - Kobe Rodgers,,4.0,2.0,done,done,done,done
Louisville Cardinals - Ryan Conwell,,18.0,21.0,done,done,done,done
Louisville Cardinals - Sananda Fru,,10.0,2.0,done,done,done,done
Louisville Cardinals - Vangelis Zougris,,6.0,8.0,done,done,done,done
McNeese Cowboys - Carl Cherenfant,,0.0,done,done,done,done,done
McNeese Cowboys - DJ Richards Jr.,,9.0,done,done,done,done,done
McNeese Cowboys - Garwey Dual,,16.0,done,done,done,done,done
McNeese Cowboys - Jacolb Fredson-Cole,,5.0,done,done,done,done,done
McNeese Cowboys - Javohn Garcia,,10.0,done,done,done,done,done
McNeese Cowboys - Jerrell Colbert,,0.0,done,done,done,done,done
McNeese Cowboys - Larry Johnson,,15.0,done,done,done,done,done
McNeese Cowboys - Peitok Machar,,0.0,done,done,done,done,done
McNeese Cowboys - Tyshawn Archie,,13.0,done,done,done,done,done
McNeese Cowboys - Yanis Ndjonga,,0.0,done,done,done,done,done
Miami (OH) RedHawks - Almar Atlason,12.0,3.0,done,done,done,done,done
Miami (OH) RedHawks - Antwone Woolfolk,3.0,3.0,done,done,done,done,done
Miami (OH) RedHawks - Brant Byers,19.0,9.0,done,done,done,done,done
Miami (OH) RedHawks - Eian Elmer,23.0,4.0,done,done,done,done,done
Miami (OH) RedHawks - Justin Kirby,8.0,2.0,done,done,done,done,done
Miami (OH) RedHawks - Luke Skaljac,17.0,4.0,done,done,done,done,done
Miami (OH) RedHawks - Peter Suder,7.0,27.0,done,done,done,done,done
Miami (OH) RedHawks - Trey Perry,0.0,4.0,done,done,done,done,done
Miami Hurricanes - Dante Allen,,9.0,8.0,done,done,done,done
Miami Hurricanes - Ernest Udeh Jr.,,3.0,3.0,done,done,done,done
Miami Hurricanes - Malik Reneau,,24.0,16.0,done,done,done,done
Miami Hurricanes - Noam Dovrat,,3.0,,done,done,done,done
Miami Hurricanes - Shelton Henderson,,15.0,18.0,done,done,done,done
Miami Hurricanes - Timotej Malovec,,0.0,0.0,done,done,done,done
Miami Hurricanes - Tre Donaldson,,17.0,13.0,done,done,done,done
Miami Hurricanes - Tru Washington,,9.0,11.0,done,done,done,done
Michigan State Spartans - Brennan Walton,,0.0,,,done,done,done
