,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,M. Tollefsen,0.8,0,2,0.918936583473,8,5,2.2,0,4,1.22927259431,22,9,0.8,0,2,0.788810637747,8,6,23.5,12,36,8.91004426975,235,10,0.6,0,2,0.843274042712,6,4,5.8,0,12,3.73571352697,58,9,4.9,1,11,2.88482620312,49,10,2.1,0,4,1.52388392675,21,9
12,Arizona,R. Anderson,7.2,2,17,4.15799096787,72,10,5.4,2,10,2.27058484879,54,10,0.0,0,0,0.0,0,0,30.7,26,35,2.66874918683,307,10,5.0,1,11,3.12694383988,50,10,15.8,5,31,7.22341870431,158,10,9.9,5,16,3.60401011221,99,10,0.1,0,1,0.316227766017,1,1
21,San Diego State,A. Chol,0.545454545455,0,2,0.934198732994,6,3,1.0,0,2,0.774596669241,11,8,0.0,0,0,0.0,0,0,9.90909090909,6,12,2.07145096271,109,11,0.545454545455,0,2,0.934198732994,6,3,2.54545454545,0,4,1.57249078621,28,9,2.45454545455,1,5,1.03572548135,27,11,0.0,0,0,0.0,0,0
21,San Diego State,B. Perez,0.0,0,0,0.0,0,0,0.875,0,4,1.35620268186,7,4,0.25,0,2,0.707106781187,2,1,5.875,2,13,4.38951673227,47,8,0.0,0,0,0.0,0,0,2.0,0,10,3.38061701891,16,4,1.375,0,4,1.50594061731,11,5,0.75,0,2,0.886405260428,6,4
21,San Diego State,D. Allen,1.54545454545,0,4,1.21355975243,17,8,1.90909090909,0,4,1.75809814598,21,8,1.0,0,3,1.0,11,7,21.0909090909,11,30,5.53993764323,232,11,1.18181818182,0,4,1.25045446284,13,7,6.0,0,15,5.03984126734,66,9,4.0,1,8,2.0,44,11,2.36363636364,0,6,1.5666989036,26,10
21,San Diego State,D. Williams,0.666666666667,0,2,1.15470053838,2,1,1.0,0,2,1.0,3,2,0.0,0,0,0.0,0,0,5.0,2,8,3.0,15,3,0.666666666667,0,2,1.15470053838,2,1,2.66666666667,0,6,3.0550504633,8,2,1.33333333333,0,3,1.52752523165,4,2,0.0,0,0,0.0,0,0
21,San Diego State,J. Hemsley,2.45454545455,0,6,2.1148823307,27,8,3.63636363636,1,6,1.43336856898,40,11,1.27272727273,0,3,1.1037127426,14,8,29.0909090909,16,36,5.61167613917,320,11,2.18181818182,0,5,1.9908883353,24,8,10.7272727273,2,18,4.22115882409,118,11,9.0,4,13,2.79284800875,99,11,3.63636363636,1,6,1.85864075457,40,11
21,San Diego State,M. Pope,1.90909090909,0,6,1.92117388357,21,7,3.0,0,7,2.32379000772,33,9,1.0,0,3,1.0,11,7,21.3636363636,7,37,8.80082640748,235,11,1.36363636364,0,6,1.80403587951,15,6,8.36363636364,0,20,6.34464699211,92,10,6.54545454545,1,11,3.01209682327,72,11,2.36363636364,0,5,1.50151438706,26,10
21,San Diego State,M. Shrigley,0.0,0,0,0.0,0,0,0.5,0,2,0.836660026534,3,2,0.333333333333,0,1,0.516397779494,2,2,9.33333333333,5,16,3.88158043414,56,6,0.0,0,0,0.0,0,0,1.33333333333,0,5,2.16024689947,8,2,1.5,0,3,1.04880884817,9,5,1.0,0,2,0.894427191,6,4
21,San Diego State,P. U'u,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.5,1,2,0.707106781187,3,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,0,1,0.707106781187,1,1,0.5,0,1,0.707106781187,1,1
