team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Gonzaga Bulldogs - Jalen Warley,Gonzaga Bulldogs,Jalen Warley,3,6.44,22.0,0.0,22.0
South Florida Bulls - Izaiyah Nelson,South Florida Bulls,Izaiyah Nelson,11,14.58,22.0,0.0,22.0
UCF Knights - Jordan Burks,UCF Knights,Jordan Burks,10,13.08,22.0,0.0,22.0
Missouri Tigers - Jayden Stone,Missouri Tigers,Jayden Stone,10,12.24,21.0,0.0,21.0
Saint Louis Billikens - Robbie Avila,Saint Louis Billikens,Robbie Avila,9,13.12,21.0,0.0,21.0
Furman Paladins - Tom House,Furman Paladins,Tom House,15,7.49,21.0,0.0,21.0
Kentucky Wildcats - Mouhamed Dioubate,Kentucky Wildcats,Mouhamed Dioubate,7,10.07,21.0,0.0,21.0
Tennessee State Tigers - Aaron Nkrumah,Tennessee State Tigers,Aaron Nkrumah,15,17.32,21.0,0.0,21.0
Hawai'i Rainbow Warriors - Dre Bullock,Hawai'i Rainbow Warriors,Dre Bullock,13,14.18,21.0,0.0,21.0
UCLA Bruins - Donovan Dent,UCLA Bruins,Donovan Dent,7,13.56,21.0,0.0,21.0
Howard Bison - Cam Gillus,Howard Bison,Cam Gillus,16,10.9,21.0,0.0,21.0
Furman Paladins - Alex Wilkins,Furman Paladins,Alex Wilkins,15,18.05,21.0,0.0,21.0
Siena Saints - Gavin Doty,Siena Saints,Gavin Doty,16,18.31,21.0,0.0,21.0
Louisville Cardinals - Adrian Wooley,Louisville Cardinals,Adrian Wooley,6,8.48,21.0,0.0,21.0
Howard Bison - Bryce Harris,Howard Bison,Bryce Harris,16,16.61,21.0,0.0,21.0
Michigan Wolverines - L.J. Cason,Michigan Wolverines,L.J. Cason,1,8.52,0.0,2.443,20.8
Saint Louis Billikens - Brady Dunlap,Saint Louis Billikens,Brady Dunlap,9,5.9,20.0,0.0,20.0
Tennessee State Tigers - Antoine Lorick III,Tennessee State Tigers,Antoine Lorick III,15,9.63,20.0,0.0,20.0
Saint Louis Billikens - Ishan Sharma,Saint Louis Billikens,Ishan Sharma,9,9.04,20.0,0.0,20.0
UCLA Bruins - Trent Perry,UCLA Bruins,Trent Perry,7,13.6,20.0,0.0,20.0
Utah State Aggies - Garry Clark,Utah State Aggies,Garry Clark,9,6.55,20.0,0.0,20.0
Pennsylvania Quakers - Michael Zanoni,Pennsylvania Quakers,Michael Zanoni,14,11.09,20.0,0.0,20.0
Akron Zips - Shammah Scott,Akron Zips,Shammah Scott,12,12.95,20.0,0.0,20.0
Miami Hurricanes - Tru Washington,Miami Hurricanes,Tru Washington,7,12.28,20.0,0.0,20.0
TCU Horned Frogs - David Punch,TCU Horned Frogs,David Punch,9,14.94,20.0,0.0,20.0
Alabama Crimson Tide - London Jemison,Alabama Crimson Tide,London Jemison,4,6.37,20.0,0.0,20.0
Santa Clara Broncos - Elijah Mahi,Santa Clara Broncos,Elijah Mahi,10,13.44,20.0,0.0,20.0
UConn Huskies - Jayden Ross,UConn Huskies,Jayden Ross,2,4.83,14.0,1.187,19.7
St. John's Red Storm - Oziyah Sellers,St. John's Red Storm,Oziyah Sellers,5,10.44,19.0,0.0,19.0
Howard Bison - Cedric Taylor III,Howard Bison,Cedric Taylor III,16,17.27,19.0,0.0,19.0
Utah State Aggies - Adlan Elamin,Utah State Aggies,Adlan Elamin,9,6.1,19.0,0.0,19.0
Wright State Raiders - Michael Imariagbe,Wright State Raiders,Michael Imariagbe,14,11.31,19.0,0.0,19.0
UCLA Bruins - Skyy Clark,UCLA Bruins,Skyy Clark,7,10.99,19.0,0.0,19.0
Kansas Jayhawks - Melvin Council Jr.,Kansas Jayhawks,Melvin Council Jr.,4,12.02,19.0,0.0,19.0
Missouri Tigers - Mark Mitchell,Missouri Tigers,Mark Mitchell,10,18.51,19.0,0.0,19.0
Illinois Fighting Illini - Jake Davis,Illinois Fighting Illini,Jake Davis,3,6.9,9.0,1.368,18.4
Alabama Crimson Tide - Houston Mallette,Alabama Crimson Tide,Houston Mallette,4,6.96,18.0,0.0,18.0
Siena Saints - Francis Folefac,Siena Saints,Francis Folefac,16,10.92,18.0,0.0,18.0
Kansas Jayhawks - Flory Bidunga,Kansas Jayhawks,Flory Bidunga,4,12.72,18.0,0.0,18.0
Wright State Raiders - Solomon Callaghan,Wright State Raiders,Solomon Callaghan,14,8.91,18.0,0.0,18.0
Nebraska Cornhuskers - Sam Hoiberg,Nebraska Cornhuskers,Sam Hoiberg,4,8.82,18.0,0.0,18.0
Saint Mary's Gaels - Joshua Dent,Saint Mary's Gaels,Joshua Dent,7,12.03,18.0,0.0,18.0
Michigan State Spartans - Cam Ward,Michigan State Spartans,Cam Ward,3,5.37,17.0,0.0,17.0
Houston Cougars - Chase McCarty,Houston Cougars,Chase McCarty,2,4.55,17.0,0.0,17.0
Miami Hurricanes - Dante Allen,Miami Hurricanes,Dante Allen,7,6.25,17.0,0.0,17.0
VCU Rams - Lazar Djokovic,VCU Rams,Lazar Djokovic,11,13.11,17.0,0.0,17.0
Santa Clara Broncos - Allen Graves,Santa Clara Broncos,Allen Graves,10,12.84,17.0,0.0,17.0
Texas Longhorns - Chendall Weaver,Texas Longhorns,Chendall Weaver,11,5.91,17.0,0.0,17.0
Texas Longhorns - Nic Codie,Texas Longhorns,Nic Codie,11,4.41,17.0,0.0,17.0
