,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Notre Dame,S. Vasturia,2.0,0,5,1.65144564769,24,9,3.58333333333,0,8,2.2746961169,43,10,0.916666666667,0,2,0.792961461099,11,8,37.5833333333,30,43,3.65459445165,451,12,1.83333333333,0,4,1.52752523165,22,9,9.91666666667,0,20,5.46822778892,119,11,9.33333333333,6,13,1.96946385567,112,12,3.33333333333,1,5,1.23091490979,40,12
87,Notre Dame,V.J. Beachem,1.66666666667,0,4,1.72328087371,20,7,3.91666666667,2,7,1.72986249235,47,12,2.25,0,4,1.21543108701,27,11,31.25,20,38,4.61469983265,375,12,0.916666666667,0,4,1.3789543689,11,5,11.0,5,19,4.30644337539,132,12,9.41666666667,7,13,1.92865159365,113,12,5.33333333333,2,7,1.61432976992,64,12
87,Notre Dame,Z. Auguste,5.83333333333,0,11,3.40676688461,70,11,5.91666666667,3,8,1.62135371797,71,12,0.0,0,0,0.0,0,0,30.6666666667,24,41,4.3344986778,368,12,3.83333333333,0,8,2.9180732539,46,10,15.6666666667,6,24,5.05125246995,188,12,10.3333333333,6,13,2.22928171609,124,12,0.0,0,0,0.0,0,0
96,Kentucky,A. Poythress,2.125,0,6,2.03100960116,17,6,4.875,0,7,2.10017006114,39,7,0.625,0,4,1.40788595317,5,2,23.0,16,37,7.87400787401,184,8,1.5,0,4,1.41421356237,12,5,11.875,0,20,5.61725657493,95,7,7.375,0,12,3.46152319899,59,7,0.875,0,5,1.80772153355,7,2
96,Kentucky,C. Matthews,0.615384615385,0,4,1.19292787841,8,4,0.307692307692,0,2,0.630425171956,4,3,0.0,0,0,0.0,0,0,7.76923076923,2,16,5.10153320342,101,13,0.230769230769,0,3,0.832050294338,3,1,0.846153846154,0,7,1.99357943768,11,3,1.0,0,4,1.35400640077,13,6,0.0,0,0,0.0,0,0
96,Kentucky,D. Hawkins,0.307692307692,0,4,1.10940039245,4,1,0.769230769231,0,3,1.01273936708,10,6,0.307692307692,0,1,0.480384461415,4,4,9.23076923077,0,20,5.3720549475,120,12,0.307692307692,0,4,1.10940039245,4,1,2.15384615385,0,9,2.99572344758,28,6,1.76923076923,0,5,1.64082530828,23,11,1.07692307692,0,3,0.954073587443,14,10
96,Kentucky,D. Willis,1.7,0,8,2.75075747144,17,4,3.0,1,8,1.94365063162,30,10,2.4,1,7,1.77638834593,24,10,22.6,13,35,6.61983551323,226,10,1.5,0,8,2.63523138347,15,4,9.9,3,25,6.29726572058,99,10,6.2,4,12,2.61618891605,62,10,5.3,3,11,2.40601099102,53,10
96,Kentucky,E.J. Floreal,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.33333333333,0,3,1.03279555899,8,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
96,Kentucky,I. Briscoe,4.07692307692,0,12,3.32820117735,53,11,3.30769230769,1,5,1.37747446344,43,13,0.0769230769231,0,1,0.277350098113,1,1,32.6153846154,23,41,4.48215836286,424,13,2.0,0,6,2.0,26,9,8.69230769231,3,13,3.19855736712,113,13,8.76923076923,5,14,2.58694949551,114,13,0.923076923077,0,3,1.03774904333,12,8
96,Kentucky,I. Humphries,0.363636363636,0,2,0.809039834956,4,2,0.909090909091,0,2,0.943879807449,10,6,0.0,0,0,0.0,0,0,10.6363636364,1,21,7.55344593246,117,11,0.272727272727,0,2,0.646669790683,3,2,2.09090909091,0,6,2.21153998176,23,6,1.81818181818,0,5,1.47093044147,20,9,0.0,0,0,0.0,0,0
