team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
Alabama Crimson Tide - Amari Allen,Alabama Crimson Tide,Amari Allen,4,29,11.66,10.54,2.6,30.32,27.4,12.06,11.0,1.06,16,1.59,4.34,2.58,27.19,2.54,26.77
Gonzaga Bulldogs - Mario Saint-Supery,Gonzaga Bulldogs,Mario Saint-Supery,3,33,8.64,8.67,3.0,25.92,26.01,9.21,7.86,1.35,21,1.39,3.21,3.13,27.14,3.079,26.69
California Baptist Lancers - Dominique Daniels Jr.,California Baptist Lancers,Dominique Daniels Jr.,13,32,23.16,23.06,1.2,27.79,27.67,23.69,22.62,1.06,41,1.91,5.81,1.03,23.75,1.156,26.66
Vanderbilt Commodores - Jalen Washington,Vanderbilt Commodores,Jalen Washington,5,34,9.12,10.23,2.1,19.15,21.48,9.05,9.2,-0.15,21,0.29,1.0,2.68,27.42,2.586,26.45
Iowa State Cyclones - Killyan Toure,Iowa State Cyclones,Killyan Toure,2,34,8.06,7.36,3.7,29.82,27.23,8.86,6.77,2.09,19,0.68,2.24,3.85,28.34,3.572,26.29
Akron Zips - Tavari Johnson,Akron Zips,Tavari Johnson,12,32,20.34,20.57,1.6,32.54,32.91,21.42,18.77,2.65,35,2.19,5.81,1.12,23.04,1.277,26.27
Utah State Aggies - Mason Falslev,Utah State Aggies,Mason Falslev,9,33,16.27,15.87,1.4,22.78,22.22,15.53,17.29,-1.76,27,1.36,3.33,1.57,24.92,1.642,26.06
St. John's Red Storm - Oziyah Sellers,St. John's Red Storm,Oziyah Sellers,5,34,10.68,10.44,2.1,22.43,21.92,10.43,11.08,-0.65,19,1.41,4.03,2.54,26.52,2.47,25.79
Michigan State Spartans - Kur Teng,Michigan State Spartans,Kur Teng,3,32,7.66,8.63,3.0,22.98,25.89,6.95,8.69,-1.74,18,1.66,4.34,3.12,26.93,2.986,25.77
SMU Mustangs - Boopie Miller,SMU Mustangs,Boopie Miller,11,32,19.19,19.04,1.6,30.7,30.46,19.3,19.0,0.3,32,2.0,4.88,2.06,39.22,1.336,25.44
Alabama Crimson Tide - Charles Bediako,Alabama Crimson Tide,Charles Bediako,4,5,10.0,9.86,2.6,26.0,25.64,10.67,9.0,1.67,14,0.0,0.2,2.58,25.44,2.54,25.04
North Carolina Tar Heels - Seth Trimble,North Carolina Tar Heels,Seth Trimble,6,23,13.96,13.81,2.0,27.92,27.62,14.77,12.9,1.87,30,0.74,2.57,1.74,24.03,1.811,25.01
Iowa State Cyclones - Jamarion Batemon,Iowa State Cyclones,Jamarion Batemon,2,34,6.85,6.97,3.7,25.34,25.79,7.67,5.54,2.13,17,1.5,3.85,3.85,26.83,3.572,24.9
Arkansas Razorbacks - Malique Ewin,Arkansas Razorbacks,Malique Ewin,4,34,9.59,9.07,2.6,24.93,23.58,10.17,8.2,1.97,21,0.09,0.12,2.73,24.76,2.727,24.73
South Florida Bulls - Wes Enis,South Florida Bulls,Wes Enis,11,31,16.81,17.9,1.6,26.9,28.64,18.31,15.2,3.11,29,3.45,9.45,1.21,21.66,1.376,24.63
Santa Clara Broncos - Christian Hammond,Santa Clara Broncos,Christian Hammond,10,32,15.94,15.44,1.6,25.5,24.7,17.44,14.0,3.44,25,1.59,3.94,1.47,22.7,1.589,24.53
Wisconsin Badgers - Austin Rapp,Wisconsin Badgers,Austin Rapp,5,29,9.62,10.36,2.1,20.2,21.76,10.22,8.64,1.59,20,1.93,5.31,2.36,24.45,2.366,24.51
Tennessee Volunteers - J.P. Estrella,Tennessee Volunteers,J.P. Estrella,6,29,10.07,10.38,2.0,20.14,20.76,10.26,9.7,0.56,23,0.14,0.34,2.35,24.39,2.334,24.23
Nebraska Cornhuskers - Jamarques Lawrence,Nebraska Cornhuskers,Jamarques Lawrence,4,32,9.72,8.98,2.6,25.27,23.35,7.86,13.27,-5.42,21,1.56,4.47,2.64,23.71,2.697,24.22
