rnd,game_id,team_id,team_name,home_away_indictor,opp_id,opp_name,player,MIN,PTS,FGM,FGA,TREY_M,TREY_A,FTM,FTA,REB,AST,TO,STL,BLK,OREB,DREB,PF
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Aleksas Bieliauskas,27,2,1,5,0,2,0,0,7,1,0,1,1,3,4,3
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Austin Rapp,33,12,4,9,2,6,2,2,4,0,0,0,0,1,3,2
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Andrew Rohde,32,6,2,4,2,3,0,0,3,5,2,0,1,0,3,3
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,John Blackwell,37,22,8,16,3,5,3,4,10,2,5,0,0,0,10,1
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Nick Boyd,35,27,10,20,1,2,6,6,5,6,1,0,0,0,5,1
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Nolan Winter,21,8,4,7,0,2,0,0,4,2,0,0,2,1,3,1
1,401856480,275,Wisconsin Badgers,1,2272,High Point Panthers,Braeden Carrington,16,5,2,4,1,3,0,0,0,1,1,1,0,0,0,1
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Izaiyah Nelson,35,22,9,17,0,2,4,4,9,1,2,2,3,5,4,5
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Wes Enis,32,4,2,15,0,11,0,0,1,2,0,1,0,1,0,4
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Josh Omojafo,23,6,1,5,0,2,4,4,7,0,0,0,0,2,5,0
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,CJ Brown,20,4,2,3,0,1,0,0,2,2,1,0,0,1,1,1
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Joseph Pinion,38,27,10,25,5,14,2,2,7,6,1,4,0,2,5,4
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Daimion Collins,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Isaiah Jones,27,4,1,4,0,3,2,2,5,0,2,4,0,3,2,3
1,401856482,58,South Florida Bulls,0,-1,UNKNOWN,Gavin Hightower,23,12,5,7,0,0,2,4,4,3,3,4,0,2,2,4
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Vangelis Zougris,10,6,3,5,0,0,0,0,6,0,0,0,0,4,2,2
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Adrian Wooley,30,4,1,5,1,3,1,4,2,1,3,0,0,0,2,4
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Ryan Conwell,37,18,5,14,2,7,6,9,4,6,6,1,0,0,4,2
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Isaac McKneely,28,23,8,11,7,10,0,0,3,2,2,1,0,1,2,2
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,J'Vonne Hadley,33,10,3,4,1,1,3,4,5,2,4,0,0,0,5,2
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Sananda Fru,25,10,4,5,0,0,2,6,10,0,0,1,2,2,8,1
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Khani Rooths,11,5,2,4,1,2,0,0,2,0,2,0,1,1,1,0
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Aly Khalifa,14,3,1,1,1,1,0,0,0,1,1,0,0,0,0,2
1,401856482,97,Louisville Cardinals,1,58,South Florida Bulls,Kobe Rodgers,20,4,1,3,0,1,2,2,6,5,2,2,0,3,3,2
1,401856478,2561,Siena Saints,0,-1,UNKNOWN,Francis Folefac,40,18,7,16,2,4,2,2,7,2,1,0,0,3,4,4
1,401856478,2561,Siena Saints,0,-1,UNKNOWN,Brendan Coyle,40,12,4,9,4,9,0,0,5,0,1,1,0,0,5,4
1,401856478,2561,Siena Saints,0,-1,UNKNOWN,Riley Mulvey,40,6,3,9,0,0,0,0,6,4,2,1,1,5,1,4
1,401856478,2561,Siena Saints,0,-1,UNKNOWN,Gavin Doty,40,21,7,20,3,12,4,4,4,2,0,2,0,1,3,1
1,401856478,2561,Siena Saints,0,-1,UNKNOWN,Justice Shoats,40,8,4,11,0,1,0,0,6,7,2,1,1,0,6,3
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Maliq Brown,26,6,3,3,0,0,0,0,8,0,2,0,0,1,7,4
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Cameron Boozer,39,22,4,11,1,5,13,14,13,3,5,0,1,5,8,1
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Dame Sarr,31,5,1,7,0,4,3,4,2,2,0,1,2,1,1,1
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Isaiah Evans,32,16,6,14,2,8,2,3,10,1,1,0,0,5,5,1
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Cayden Boozer,39,19,9,16,1,4,0,0,2,5,0,2,0,0,2,1
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Nikolas Khamenia,24,3,1,5,1,3,0,0,3,0,0,0,0,1,2,1
1,401856478,150,Duke Blue Devils,1,2561,Siena Saints,Darren Harris,9,0,0,3,0,2,0,0,1,0,0,0,0,1,0,1
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Jerrell Colbert,31,0,0,4,0,1,0,0,6,1,1,2,2,4,2,2
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Tyshawn Archie,30,13,6,16,1,5,0,0,2,2,0,1,0,1,1,1
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Larry Johnson,28,15,4,17,1,6,6,6,5,0,1,0,0,0,5,4
